exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
WHR	Acetoacetate	Ketone bodies	Ketone bodies	0.0531524497225294	-0.0321487139215146	0.138453613366573	0.221970277950766
WHR	Acetate	Ketone bodies	Ketone bodies	-0.0791966774460366	-0.152521307777648	-0.00587204711442535	0.0342630362638111
WHR	Alanine	Amino acids	Amino acids	0.0487959993225291	-0.0366290412920202	0.134221039937078	0.262892823684736
WHR	Albumin	Fluid balance	Fluid balance	0.0333602756050567	-0.0548990374597856	0.121619588669899	0.45878969822386
WHR	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	-0.154784146699356	-0.250986814904749	-0.0585814784939625	0.00161314810419427
WHR	Apolipoprotein B	Apolipoproteins	Apolipoproteins	0.260301257991163	0.140069178014098	0.380533337968228	2.20177625762382e-05
WHR	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	-0.122507066915927	-0.233722630204815	-0.0112915036270386	0.0308505505918027
WHR	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	-0.156048322341951	-0.264948126408502	-0.0471485182753996	0.00497592400630249
WHR	3-hydroxybutyrate	Ketone bodies	Ketone bodies	-0.0693586021546784	-0.149209051246608	0.0104918469372513	0.0886676115763109
WHR	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	0.167158882918057	0.0621861594342831	0.272131606401831	0.00180170758001549
WHR	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	0.120072552054467	0.0309497731033374	0.209195331005597	0.00827467816571198
WHR	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	-0.0907436947865311	-0.175363731769602	-0.00612365780346044	0.0355674355057662
WHR	Creatinine	Fluid balance	Fluid balance	0.000554861759941531	-0.0814573807183253	0.0825671042382084	0.989419906321178
WHR	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	-0.130247960478983	-0.229096829232791	-0.0313990917251745	0.00980620616759747
WHR	22:6, docosahexaenoic acid	Fatty acids	Fatty acids	0.0780116843464847	-0.0311205731028826	0.187143941795852	0.161190485695849
WHR	Free cholesterol to esterified cholesterol ratio	Metabolites ratio	Metabolites ratio	0.03151520311823	-0.0958338291875748	0.158864235424035	0.627645612915663
WHR	Description of average fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	-0.118071566679886	-0.22878152194797	-0.00736161141180161	0.0365882230164465
WHR	Omega-3 fatty acids	Fatty acids	Fatty acids	0.202477311928197	0.092372562703283	0.312582061153111	0.000312940822988166
WHR	Omega-6 fatty acids	Fatty acids	Fatty acids	0.0906407125641614	-0.035576817485903	0.216858242614226	0.159268324002532
WHR	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	0.205167600295317	0.086622580513533	0.323712620077101	0.000693336393832439
WHR	Free cholesterol	Cholesterol	Cholesterol	-0.0186111082376865	-0.139093932604829	0.101871716129456	0.762070287684607
WHR	Glucose	Glycolysis related metabolites	Glycolysis related metabolites	0.0950763036059574	0.0170102190973271	0.173142388114588	0.0169830520489092
WHR	Glutamine	Amino acids	Amino acids	-0.140092615037182	-0.221822813459841	-0.0583624166145233	0.000780528012869386
WHR	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites	0.147808111202689	0.0597535252252809	0.235862697180097	0.00100169956016722
WHR	Glycoproteins	Protein	Protein	-0.151345715655976	-0.248917198470374	-0.0537742328415778	0.00236414813541462
WHR	Glycoprotein acetyls	Inflammation	Inflammation	0.256083252623406	0.154193904047233	0.357972601199579	8.38615817501479e-07
WHR	Total cholesterol in HDL	Cholesterol	Cholesterol	-0.34330953615084	-0.445344077486717	-0.241274994814963	4.26130668242992e-11
WHR	Mean diameter for HDL particles	Lipoprotein particle size	Lipoprotein particle size	-0.374765317876609	-0.482729068087162	-0.266801567666056	1.02050702345845e-11
WHR	Histidine	Amino acids	Amino acids	-0.0160944109106722	-0.101851991531486	0.0696631697101418	0.712992741784261
WHR	Total cholesterol in IDL	Lipoprotein subclasses	IDL	0.0779730646807157	-0.036895643232058	0.192841772593489	0.183369664847023
WHR	Free cholesterol in IDL	Lipoprotein subclasses	IDL	0.0609049456126014	-0.0475590403446011	0.169368931569804	0.271077889250257
WHR	Total lipids in IDL	Lipoprotein subclasses	IDL	0.108471229638079	-0.00539635946844115	0.222338818744599	0.0618858655476554
WHR	Concentration of IDL particles	Lipoprotein subclasses	IDL	0.124384854595707	0.0114593953624778	0.237310313828936	0.0308582412388516
WHR	Phospholipids in IDL	Lipoprotein subclasses	IDL	0.115152379006463	0.00467803527056496	0.225626722742361	0.041052815721575
WHR	Triglycerides in IDL	Lipoprotein subclasses	IDL	0.196625491002061	0.0910858458153683	0.302165136188754	0.000260636645381843
WHR	Isoleucine	Amino acids	Branched-chain amino acids	0.290796845632389	0.200978375550708	0.38061531571407	2.21404298233536e-10
WHR	Total cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.401544941367808	-0.510864244366535	-0.292225638369081	6.04996174559569e-13
WHR	Cholesterol esters in large HDL	Lipoprotein subclasses	Large HDL	-0.38441672251236	-0.496956471245446	-0.271876973779274	2.15630245806372e-11
WHR	Free cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.426171613217189	-0.534578983602425	-0.317764242831953	1.30677304750412e-14
WHR	Total lipids in large HDL	Lipoprotein subclasses	Large HDL	-0.398855336511609	-0.512820166666942	-0.284890506356276	6.90395864420058e-12
WHR	Concentration of large HDL particles	Lipoprotein subclasses	Large HDL	-0.396017242973613	-0.51041264584053	-0.281621840106696	1.15939080520316e-11
WHR	Phospholipids in large HDL	Lipoprotein subclasses	Large HDL	-0.395150002818837	-0.510384010437516	-0.279915995200158	1.80414521755117e-11
WHR	Total cholesterol in large LDL	Lipoprotein subclasses	Large LDL	0.090775384995443	-0.0244729410193834	0.206023711010269	0.122638076325427
