label	group	subgroup	beta	standard_error	Pvalue	lower_confidence_interval	upper_confidence_interval
QTSHW21422	Group1	Subgroup1	0.023756914	0.027387262	0.413166786	-0.02992211952	0.07743594752
ZCEJI19867	Group1	Subgroup1	-0.103219122	0.026692893	8.95e-05	-0.15553719228	-0.05090105172
KSTHN21737	Group1	Subgroup1	-0.043301764	0.02865241	0.119181055	-0.0994604876	0.0128569596
YKARM56350	Group1	Subgroup1	0.026316463	0.028797254	0.385861266	-0.03012615484	0.08275908084
ZBBQV69243	Group2	Subgroup2	-0.146212988	0.030376235	1.19e-06	-0.2057504086	-0.0866755674
SOCMZ05324	Group2	Subgroup2	0.186543407	0.031570895	4.46e-09	0.1246644528	0.2484223612
LFNSZ69167	Group1	Subgroup3	0.248415461	0.026525248	1.22e-20	0.19642597492	0.30040494708
RDFEK53287	Group1	Subgroup3	0.168873441	0.02656157	2.84e-10	0.1168127638	0.2209341182
JXBSD24309	Group1	Subgroup4	0.229784832	0.026424317	5.38e-18	0.17799317068	0.28157649332
CFGSL00523	Group1	Subgroup4	0.191936593	0.026267396	3.99e-13	0.14045249684	0.24342068916
EXJCU87662	Group1	Subgroup4	0.156380498	0.027054606	1e-08	0.10335347024	0.20940752576
CDPYL19613	Group3	Subgroup5	0.030322379	0.035556032	0.415084989	-0.03936744372	0.10001220172
DFTKB68635	Group3	Subgroup5	0.030838172	0.034683524	0.395129934	-0.03714153504	0.09881787904
EJAPW42093	Group3	Subgroup5	-0.236970523	0.029591371	8.04e-16	-0.29496961016	-0.17897143584
YQNEK83236	Group3	Subgroup5	0.115366433	0.030992957	0.000234199	0.05462023728	0.17611262872
KABVK14948	Group3	Subgroup5	0.046893594	0.030236068	0.131956197	-0.01236909928	0.10615628728
PLNXQ94379	Group11	Subgroup6	0.22942363	0.028940959	3.25e-15	0.17269935036	0.28614790964
PNCPI32001	Group11	Subgroup6	0.210175114	0.029301504	1.03e-12	0.15274416616	0.26760606184
DWHGC32253	Group11	Subgroup6	0.213192389	0.027568389	1.54e-14	0.15915834656	0.26722643144
SUTGC30626	Group11	Subgroup6	0.221831786	0.028892739	2.33e-14	0.16520201756	0.27846155444
VPKBI58827	Group4	Subgroup7	-0.160924917	0.036904922	1.1e-05	-0.23325856412	-0.08859126988
TSBZN79581	Group4	Subgroup7	0.116089293	0.029187436	8.45e-05	0.05888191844	0.17329666756
NRFMZ68852	Group4	Subgroup7	-0.12915085	0.033491999	9.77e-05	-0.19479516804	-0.06350653196
FLGYN45103	Group4	Subgroup7	0.046798508	0.034943152	0.193332254	-0.02169006992	0.11528708592
VWBDR56913	Group4	Subgroup7	-0.064947597	0.034134099	0.05212229	-0.13185043104	0.00195523704
RXASD23084	Group4	Subgroup7	0.062412474	0.035099741	0.081889411	-0.00638301835999999	0.13120796636
WDYJH51020	Group4	Subgroup7	0.037211648	0.034481192	0.298256257	-0.03037148832	0.10479478432
SVFNV31639	Group4	Subgroup7	0.167360519	0.035237809	2.46e-06	0.09829441336	0.23642662464
DPHBN87110	Group4	Subgroup7	0.012793538	0.035153367	0.744671001	-0.05610706132	0.08169413732
VWKFN14783	Group4	Subgroup7	0.181030403	0.035189976	3.29e-07	0.11205805004	0.25000275596
OJLTE18379	Group4	Subgroup7	0.086274534	0.035898686	0.017990589	0.01591310944	0.15663595856
OSLKK96173	Group4	Subgroup7	0.131077469	0.035263437	0.000234195	0.06196113248	0.20019380552
XRWWU87634	Group5	Subgroup8	-0.083700555	0.027696998	0.00213651	-0.13798667108	-0.02941443892
PBBSV75091	Group5	Subgroup8	0.058812529	0.027706516	0.038065185	0.00450775764000001	0.11311730036
YAJJH94236	Group6	Subgroup9	-0.022258267	0.033541132	0.481612708	-0.08799888572	0.04348235172
XFEZL44547	Group6	Subgroup9	0.241163939	0.02996244	1.2e-15	0.1824375566	0.2998903214
BNQQK30559	Group6	Subgroup9	0.073751429	0.033211412	0.029245077	0.00865706147999999	0.13884579652
EWRNE49253	Group6	Subgroup9	-0.005732274	0.033777518	0.834037517	-0.07193620928	0.06047166128
UMHOG67492	Group7	Subgroup10	-0.077134355	0.02623584	0.002777895	-0.1285566014	-0.0257121086
UOTQD62153	Group7	Subgroup10	0.084224831	0.026448366	0.001726487	0.03238603364	0.13606362836
XUEAE67912	Group7	Subgroup10	0.082752478	0.027924185	0.003553426	0.0280210754	0.1374838806
PDDGQ23737	Group7	Subgroup10	0.058709375	0.025554279	0.024780651	0.00862298816	0.10879576184
SACBB37732	Group7	Subgroup10	0.069620035	0.025268539	0.006892834	0.02009369856	0.11914637144
IGXEK18984	Group11	Subgroup11	0.08960482	0.030737419	0.004086414	0.02935947876	0.14985016124
FOPTA41574	Group11	Subgroup11	0.076882823	0.029718844	0.011029956	0.01863388876	0.13513175724
VHZKK16418	Group11	Subgroup11	0.11755799	0.030458666	0.000135945	0.05785900464	0.17725697536
YZDSH14540	Group11	Subgroup11	0.131364669	0.030250405	1.72e-05	0.0720738752	0.1906554628
CSSCK98726	Group11	Subgroup11	0.11350559	0.029730229	0.000161548	0.05523434116	0.17177683884
EEXJE10796	Group11	Subgroup11	0.182813601	0.029686367	9.79e-10	0.12462832168	0.24099888032
KZMJJ36552	Group8	Subgroup12	0.274296118	0.027376855	2.06e-23	0.2206374822	0.3279547538
FNJIX41551	Group9	Subgroup13	0.051412825	0.028824957	0.082394056	-0.00508409072	0.10790974072
QDAIJ61707	Group9	Subgroup13	-0.106664729	0.026012295	3.29e-05	-0.1576488272	-0.0556806308
UHLNO45150	Group9	Subgroup13	-0.002084877	0.025564685	0.893272381	-0.0521916596	0.0480219056
HSKOO43519	Group11	Subgroup14	-0.276806928	0.030062803	2.2e-20	-0.33573002188	-0.21788383412
BYQMV92275	Group11	Subgroup14	-0.271871217	0.031012628	1.25e-18	-0.33265596788	-0.21108646612
JBANW46465	Group11	Subgroup14	-0.291106113	0.029618425	5.4e-23	-0.349158226	-0.233054
ZLREM36774	Group11	Subgroup14	-0.275952652	0.030976615	3.5e-19	-0.3366668174	-0.2152384866
PRFAP72147	Group11	Subgroup14	-0.272733237	0.030953747	8.41e-19	-0.33340258112	-0.21206389288
VXDKY72408	Group11	Subgroup14	-0.272051963	0.031014281	1.19e-18	-0.33283995376	-0.21126397224
UJEYL84820	Group11	Subgroup15	0.096545757	0.030478909	0.001787162	0.03680709536	0.15628441864
JJZTE78524	Group11	Subgroup15	0.082523993	0.030309803	0.007399511	0.02311677912	0.14193120688
CJUGX74291	Group11	Subgroup15	0.117455705	0.031423414	0.000219854	0.05586581356	0.17904559644
LBNXA27394	Group11	Subgroup15	0.12423592	0.03129614	8.61e-05	0.0628954856	0.1855763544
USOIK26005	Group11	Subgroup15	0.109873581	0.030254541	0.00033427	0.05057468064	0.16917248136
EAACY11373	Group11	Subgroup16	0.108034989	0.0314133	0.000682955	0.046464921	0.169605057
EMCKG26384	Group11	Subgroup16	0.219296479	0.028934632	4.98e-14	0.16258460028	0.27600835772
NOYEK28314	Group11	Subgroup16	0.247296569	0.030164585	3.53e-16	0.1881739824	0.3064191556
DKFAN45254	Group11	Subgroup16	0.218808203	0.028255429	1.4e-14	0.16342756216	0.27418884384
OEJLH14869	Group11	Subgroup16	0.253066069	0.029218521	6.99e-18	0.19579776784	0.31033437016
IHHGK77338	Group11	Subgroup16	0.23834336	0.029162165	4.4e-16	0.1811855166	0.2955012034
CXKQJ32241	Group11	Subgroup16	0.235665691	0.028888623	5.01e-16	0.17904398992	0.29228739208
OOURI64872	Group11	Subgroup16	0.24239195	0.028107922	9.84e-18	0.18730042288	0.29748347712
ZHNTO14261	Group10	Subgroup17	-0.253339304	0.02979562	1.26e-17	-0.3117387192	-0.1949398888
FROVX54172	Group10	Subgroup17	-0.042439793	0.028346426	0.122435338	-0.09799878796	0.01311920196
JVPYY22121	Group10	Subgroup17	0.219343642	0.029175086	7.89e-14	0.16216047344	0.27652681056
AGXMM36780	Group11	Subgroup18	-0.153729359	0.028017865	3.12e-08	-0.2086443744	-0.0988143436
JGPUP87829	Group11	Subgroup18	-0.148452136	0.028726988	1.84e-07	-0.20475703248	-0.09214723952
SSKYU84332	Group11	Subgroup18	-0.150274331	0.027859323	5.26e-08	-0.20487860408	-0.09567005792
KZKVO55755	Group11	Subgroup18	-0.103572299	0.027825656	0.000162905	-0.15811058476	-0.04903401324
ZCPFU29943	Group11	Subgroup18	-0.083431251	0.027528854	0.002073194	-0.13738780484	-0.02947469716
DJJRY12851	Group11	Subgroup18	-0.096344402	0.027202349	0.000329144	-0.14966100604	-0.04302779796
JPFZK74646	Group11	Subgroup19	0.109914238	0.030709133	0.00040715	0.04972433732	0.17010413868
AUYWR52114	Group11	Subgroup19	0.116197421	0.031535116	0.000270477	0.05438859364	0.17800624836
WDZEY80453	Group11	Subgroup19	0.128357332	0.031698946	6.15e-05	0.06622739784	0.19048726616
BDDME36441	Group11	Subgroup19	0.132290618	0.031583063	3.38e-05	0.07038781452	0.19419342148
MBVDO44301	Group11	Subgroup19	0.122520992	0.030419936	6.79e-05	0.06289791744	0.18214406656
ZBNUS38030	Group11	Subgroup20	0.217462682	0.029537048	2.54e-13	0.15957006792	0.27535529608
SIEFN78754	Group11	Subgroup20	0.21948462	0.030529755	8.99e-13	0.1596463002	0.2793229398
JIVHP19776	Group11	Subgroup20	0.232148012	0.02906424	2e-15	0.1751821016	0.2891139224
LRVTI72764	Group11	Subgroup20	0.252441949	0.030028647	6.17e-17	0.19358580088	0.31129809712
MVRYG90742	Group11	Subgroup20	0.250759041	0.029936455	7.99e-17	0.1920835892	0.3094344928
UMCZI14493	Group11	Subgroup20	0.236731779	0.029375279	1.12e-15	0.17915623216	0.29430732584
NCQQT80619	Group11	Subgroup20	0.253602996	0.028462999	7.81e-19	0.19781551796	0.30939047404
GESTZ47823	Group12	Subgroup21	-0.133403337	0.036108248	0.000190125	-0.20417550308	-0.06263117092
MWXCK18379	Group12	Subgroup21	0.180828732	0.035379873	3.91e-07	0.11148418092	0.25017328308
ACPTL19032	Group13	Subgroup22	-0.052534346	0.041604719	0.195309997	-0.13407959524	0.02901090324
IOJXQ40641	Group11	Subgroup23	0.048857911	0.027252299	0.081255748	-0.00455659504000001	0.10227241704
EYEZW39728	Group11	Subgroup23	0.05094924	0.026373955	0.059998581	-0.000743711799999998	0.1026421918
BNQDP10452	Group11	Subgroup23	0.216040939	0.028464392	4.61e-14	0.16025073068	0.27183114732
NATOG04617	Group11	Subgroup24	0.127955093	0.030634573	3.58e-05	0.06791132992	0.18799885608
LUQSX37613	Group11	Subgroup24	0.143055121	0.031916043	8.99e-06	0.08049967672	0.20561056528
PFYKL41456	Group11	Subgroup24	0.140792476	0.031818302	1.17e-05	0.07842860408	0.20315634792
ZWBIE03440	Group11	Subgroup25	0.167001623	0.029377942	1.71e-08	0.10942085668	0.22458238932
PIYMY62123	Group11	Subgroup25	0.1886859	0.029825227	3.36e-10	0.13022845508	0.24714334492
PNKPQ06894	Group11	Subgroup25	0.22053474	0.030721959	9.7e-13	0.16031970036	0.28074977964
LTFEK03051	Group11	Subgroup25	0.231984699	0.030797201	6.94e-14	0.17162218504	0.29234721296
QXQHJ15507	Group11	Subgroup25	0.197909691	0.029617659	3.21e-11	0.13985907936	0.25596030264
