label	group	subgroup	beta	standard_error	Pvalue	lower_confidence_interval	upper_confidence_interval
QTSHW21422	Group1	Subgroup1	0.023645914	0.027387262	0.413166786	-0.03003311952	0.07732494752
ZCEJI19867	Group1	Subgroup1	-0.103330122	0.026692893	8.95e-05	-0.15564819228	-0.05101205172
KSTHN21737	Group1	Subgroup1	-0.043412764	0.02865241	0.119181055	-0.0995714876	0.0127459596
YKARM56350	Group1	Subgroup1	0.026205463	0.028797254	0.385861266	-0.03023715484	0.08264808084
ZBBQV69243	Group2	Subgroup2	-0.146323988	0.030376235	1.19e-06	-0.2058614086	-0.0867865674
SOCMZ05324	Group2	Subgroup2	0.186432407	0.031570895	4.46e-09	0.1245534528	0.2483113612
LFNSZ69167	Group1	Subgroup3	0.248304461	0.026525248	1.22e-20	0.19631497492	0.30029394708
RDFEK53287	Group1	Subgroup3	0.168762441	0.02656157	2.84e-10	0.1167017638	0.2208231182
JXBSD24309	Group1	Subgroup4	0.229673832	0.026424317	5.38e-18	0.17788217068	0.28146549332
CFGSL00523	Group1	Subgroup4	0.191825593	0.026267396	3.99e-13	0.14034149684	0.24330968916
EXJCU87662	Group1	Subgroup4	0.156269498	0.027054606	1e-08	0.10324247024	0.20929652576
CDPYL19613	Group3	Subgroup5	0.030211379	0.035556032	0.415084989	-0.03947844372	0.09990120172
DFTKB68635	Group3	Subgroup5	0.030727172	0.034683524	0.395129934	-0.03725253504	0.09870687904
EJAPW42093	Group3	Subgroup5	-0.237081523	0.029591371	8.04e-16	-0.29508061016	-0.17908243584
YQNEK83236	Group3	Subgroup5	0.115255433	0.030992957	0.000234199	0.05450923728	0.17600162872
KABVK14948	Group3	Subgroup5	0.046782594	0.030236068	0.131956197	-0.01248009928	0.10604528728
PLNXQ94379	Group11	Subgroup6	0.22931263	0.028940959	3.25e-15	0.17258835036	0.28603690964
PNCPI32001	Group11	Subgroup6	0.210064114	0.029301504	1.03e-12	0.15263316616	0.26749506184
DWHGC32253	Group11	Subgroup6	0.213081389	0.027568389	1.54e-14	0.15904734656	0.26711543144
SUTGC30626	Group11	Subgroup6	0.221720786	0.028892739	2.33e-14	0.16509101756	0.27835055444
VPKBI58827	Group4	Subgroup7	-0.161035917	0.036904922	1.1e-05	-0.23336956412	-0.08870226988
TSBZN79581	Group4	Subgroup7	0.115978293	0.029187436	8.45e-05	0.05877091844	0.17318566756
NRFMZ68852	Group4	Subgroup7	-0.12926185	0.033491999	9.77e-05	-0.19490616804	-0.06361753196
FLGYN45103	Group4	Subgroup7	0.046687508	0.034943152	0.193332254	-0.02180106992	0.11517608592
VWBDR56913	Group4	Subgroup7	-0.065058597	0.034134099	0.05212229	-0.13196143104	0.00184423704
RXASD23084	Group4	Subgroup7	0.062301474	0.035099741	0.081889411	-0.00649401835999999	0.13109696636
WDYJH51020	Group4	Subgroup7	0.037100648	0.034481192	0.298256257	-0.03048248832	0.10468378432
SVFNV31639	Group4	Subgroup7	0.167249519	0.035237809	2.46e-06	0.09818341336	0.23631562464
DPHBN87110	Group4	Subgroup7	0.012682538	0.035153367	0.744671001	-0.05621806132	0.08158313732
VWKFN14783	Group4	Subgroup7	0.180919403	0.035189976	3.29e-07	0.11194705004	0.24989175596
OJLTE18379	Group4	Subgroup7	0.086163534	0.035898686	0.017990589	0.01580210944	0.15652495856
OSLKK96173	Group4	Subgroup7	0.130966469	0.035263437	0.000234195	0.06185013248	0.20008280552
XRWWU87634	Group5	Subgroup8	-0.083811555	0.027696998	0.00213651	-0.13809767108	-0.02952543892
PBBSV75091	Group5	Subgroup8	0.058701529	0.027706516	0.038065185	0.00439675764000001	0.11300630036
YAJJH94236	Group6	Subgroup9	-0.022369267	0.033541132	0.481612708	-0.08810988572	0.04337135172
XFEZL44547	Group6	Subgroup9	0.241052939	0.02996244	1.2e-15	0.1823265566	0.2997793214
BNQQK30559	Group6	Subgroup9	0.073640429	0.033211412	0.029245077	0.00854606147999999	0.13873479652
EWRNE49253	Group6	Subgroup9	-0.005843274	0.033777518	0.834037517	-0.07204720928	0.06036066128
UMHOG67492	Group7	Subgroup10	-0.077245355	0.02623584	0.002777895	-0.1286676014	-0.0258231086
UOTQD62153	Group7	Subgroup10	0.084113831	0.026448366	0.001726487	0.03227503364	0.13595262836
XUEAE67912	Group7	Subgroup10	0.082641478	0.027924185	0.003553426	0.0279100754	0.1373728806
PDDGQ23737	Group7	Subgroup10	0.058598375	0.025554279	0.024780651	0.00851198816	0.10868476184
SACBB37732	Group7	Subgroup10	0.069509035	0.025268539	0.006892834	0.01998269856	0.11903537144
IGXEK18984	Group11	Subgroup11	0.08949382	0.030737419	0.004086414	0.02924847876	0.14973916124
FOPTA41574	Group11	Subgroup11	0.076771823	0.029718844	0.011029956	0.01852288876	0.13502075724
VHZKK16418	Group11	Subgroup11	0.11744699	0.030458666	0.000135945	0.05774800464	0.17714597536
YZDSH14540	Group11	Subgroup11	0.131253669	0.030250405	1.72e-05	0.0719628752	0.1905444628
CSSCK98726	Group11	Subgroup11	0.11339459	0.029730229	0.000161548	0.05512334116	0.17166583884
EEXJE10796	Group11	Subgroup11	0.182702601	0.029686367	9.79e-10	0.12451732168	0.24088788032
KZMJJ36552	Group8	Subgroup12	0.274185118	0.027376855	2.06e-23	0.2205264822	0.3278437538
FNJIX41551	Group9	Subgroup13	0.051301825	0.028824957	0.082394056	-0.00519509072	0.10779874072
QDAIJ61707	Group9	Subgroup13	-0.106775729	0.026012295	3.29e-05	-0.1577598272	-0.0557916308
UHLNO45150	Group9	Subgroup13	-0.002195877	0.025564685	0.893272381	-0.0523026596	0.0479109056
HSKOO43519	Group11	Subgroup14	-0.276917928	0.030062803	2.2e-20	-0.33584102188	-0.21799483412
