exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
WHR	Acetoacetate	Ketone bodies	Ketone bodies	0.029592809024438	-0.0378145389412294	0.0970001569901054	0.389530790412964
WHR	Acetate	Ketone bodies	Ketone bodies	-0.0587283228474901	-0.115062098432866	-0.00239454726211437	0.0410215042784784
WHR	Alanine	Amino acids	Amino acids	0.0449105635437775	-0.0218474800099453	0.1116686070975	0.187315158182841
WHR	Albumin	Fluid balance	Fluid balance	0.014430606953852	-0.0589762330006972	0.0878374469084012	0.700011788921994
WHR	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	-0.104448219629309	-0.177543663208063	-0.0313527760505546	0.00509916791203665
WHR	Apolipoprotein B	Apolipoproteins	Apolipoproteins	0.221991148925992	0.121112011556363	0.322870286295621	1.60975161906953e-05
WHR	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	-0.0102127552996302	-0.0993725233741794	0.078947012774919	0.822362747972872
WHR	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	-0.0223901677903563	-0.10904333901381	0.0642630034330975	0.612547015872258
WHR	3-hydroxybutyrate	Ketone bodies	Ketone bodies	-0.0841126406260949	-0.150742393552393	-0.017482887699797	0.0133504397638331
WHR	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	0.0336268713944831	-0.0516001547830744	0.118853897572041	0.43932674609333
WHR	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	0.0722711656156069	-0.00229797410667124	0.146840305337885	0.0574857259480961
WHR	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	-0.0545869846147119	-0.124097856312601	0.0149238870831772	0.123757738312651
WHR	Creatinine	Fluid balance	Fluid balance	0.0502766742257471	-0.0155674165675281	0.116120765019022	0.134497310034616
WHR	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	-0.0224108209792177	-0.10523621689729	0.0604145749388543	0.595879660813114
WHR	22:6, docosahexaenoic acid	Fatty acids	Fatty acids	0.109141633571814	0.0199280932623983	0.19835517388123	0.0164931744237778
WHR	Free cholesterol to esterified cholesterol ratio	Metabolites ratio	Metabolites ratio	0.065066967191907	-0.0368931764737921	0.167027110857606	0.211009215860264
WHR	Description of average fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	-0.0447097819483529	-0.133740655927622	0.0443210920309167	0.324978611378788
WHR	Omega-3 fatty acids	Fatty acids	Fatty acids	0.169305534577452	0.0856050667607945	0.25300600239411	7.35192216250111e-05
WHR	Omega-6 fatty acids	Fatty acids	Fatty acids	0.11544447414723	0.0174639486273647	0.213424999667095	0.0209242561926414
WHR	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	0.135852791272867	0.0456845043043313	0.226021078241403	0.0031465086868273
WHR	Free cholesterol	Cholesterol	Cholesterol	0.0485247346676928	-0.0498577163604109	0.146907185695796	0.33368302548042
WHR	Glucose	Glycolysis related metabolites	Glycolysis related metabolites	0.0636724463935045	0.00214616517476527	0.125198727612244	0.0425226124407359
WHR	Glutamine	Amino acids	Amino acids	-0.111699929270105	-0.178725819903035	-0.044674038637175	0.00108932925328685
WHR	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites	0.0689834804534142	-0.011939484613107	0.149906445519935	0.0947574488243081
WHR	Glycoproteins	Protein	Protein	-0.155707555970456	-0.232573011084445	-0.0788421008564671	7.17512573952845e-05
WHR	Glycoprotein acetyls	Inflammation	Inflammation	0.141222674102318	0.0577205732635275	0.224724774941109	0.000916942677724992
WHR	Total cholesterol in HDL	Cholesterol	Cholesterol	-0.274973478684328	-0.351273991545912	-0.198672965822744	1.62370227072149e-12
WHR	Mean diameter for HDL particles	Lipoprotein particle size	Lipoprotein particle size	-0.277705591565039	-0.36186916359402	-0.193542019536058	9.98330734310323e-11
WHR	Histidine	Amino acids	Amino acids	-0.0376430142182685	-0.106223434435149	0.0309374059986117	0.282006981889293
WHR	Total cholesterol in IDL	Lipoprotein subclasses	IDL	0.0937217594806973	-0.00982666045005071	0.197270179411445	0.076063547069479
WHR	Free cholesterol in IDL	Lipoprotein subclasses	IDL	0.0609985693605055	-0.0395660524160292	0.16156319113704	0.2344949987353
WHR	Total lipids in IDL	Lipoprotein subclasses	IDL	0.114705119740146	0.010734663418966	0.218675576061326	0.0305900835849844
WHR	Concentration of IDL particles	Lipoprotein subclasses	IDL	0.127215054847669	0.0238840021336995	0.230546107561639	0.0158202747959392
WHR	Phospholipids in IDL	Lipoprotein subclasses	IDL	0.102724958375131	0.0010122775044671	0.204437639245795	0.0477590024616253
WHR	Triglycerides in IDL	Lipoprotein subclasses	IDL	0.183441503473057	0.0898957788555945	0.276987228090519	0.000121279555953562
WHR	Isoleucine	Amino acids	Branched-chain amino acids	0.248068664639906	0.177050192158423	0.319087137121389	7.57783974479429e-12
WHR	Total cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.302920539102262	-0.386947803848001	-0.218893274356523	1.59632936772554e-12
WHR	Cholesterol esters in large HDL	Lipoprotein subclasses	Large HDL	-0.296035283183602	-0.382764260140955	-0.209306306226249	2.22954433247564e-11
WHR	Free cholesterol in large HDL	Lipoprotein subclasses	Large HDL	-0.314230854571222	-0.396355549685231	-0.232106159457213	6.40716968023877e-14
WHR	Total lipids in large HDL	Lipoprotein subclasses	Large HDL	-0.311215599778611	-0.396710279213515	-0.225720920343707	9.69680830249013e-13
WHR	Concentration of large HDL particles	Lipoprotein subclasses	Large HDL	-0.311061574461275	-0.396335013611905	-0.225788135310645	8.69590018448e-13
WHR	Phospholipids in large HDL	Lipoprotein subclasses	Large HDL	-0.318559187801277	-0.403724666649429	-0.233393708953125	2.27884192841069e-13
WHR	Total cholesterol in large LDL	Lipoprotein subclasses	Large LDL	0.10190603971996	-0.00244499012084208	0.206257069560762	0.0556104014609226
WHR	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	0.126195441951034	0.0182851455438945	0.234105738358173	0.0218988705705846
WHR	Free cholesterol in large LDL	Lipoprotein subclasses	Large LDL	0.0689660268206245	-0.034827617322605	0.172759670963854	0.192804140413166
WHR	Total lipids in large LDL	Lipoprotein subclasses	Large LDL	0.124133805598317	0.0151229354145769	0.233144675782057	0.0256210284483176
WHR	Concentration of large LDL particles	Lipoprotein subclasses	Large LDL	0.129698070313154	0.0209468011920519	0.238449339434256	0.0194121855391375
WHR	Phospholipids in large LDL	Lipoprotein subclasses	Large LDL	0.106503063742881	0.00319403758261803	0.209812089903144	0.0433214028747095
WHR	Total cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.245584010872006	0.162249707672857	0.328918314071155	7.64661570525587e-09
WHR	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	0.24143126629099	0.155558238227554	0.327304294354426	3.57769393633842e-08
WHR	Free cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.232381434626677	0.150169995758485	0.314592873494869	3.02130631034615e-08
WHR	Total lipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.239797272411379	0.152930398260318	0.32666414656244	6.2810928070278e-08
WHR	Concentration of large VLDL particles	Lipoprotein subclasses	Large VLDL	0.246495409762766	0.160841284432568	0.332149535092964	1.69569610611853e-08
WHR	Phospholipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.228144234895666	0.145480860016574	0.310807609774758	6.32215558073083e-08
WHR	Triglycerides in large VLDL	Lipoprotein subclasses	Large VLDL	0.22948670655514	0.144465734642265	0.314507678468015	1.22057027344324e-07
WHR	18:2, linoleic acid	Fatty acids	Fatty acids	0.0914195159811329	-0.0113161034256664	0.194155135387932	0.0811398594823729
WHR	Lactate	Glycolysis related metabolites	Glycolysis related metabolites	0.114881185782558	0.0515732606778853	0.178189110887231	0.000375546504939031
WHR	Total cholesterol in LDL	Cholesterol	Cholesterol	0.123634355732945	0.0169551217643083	0.230313589701582	0.0231159009739549
WHR	Mean diameter for LDL particles	Lipoprotein particle size	Lipoprotein particle size	-0.0955987378201065	-0.170186413444497	-0.021011062195716	0.0120006748304321
WHR	Leucine	Amino acids	Branched-chain amino acids	0.175096625129483	0.105086365412976	0.24510688484599	9.48721005229679e-07
WHR	Total cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.212392877901259	-0.285618664248224	-0.139167091554294	1.30797552677601e-08
WHR	Cholesterol esters in medium HDL	Lipoprotein subclasses	Medium HDL	-0.204680446452117	-0.281755241888575	-0.127605651015659	1.94005215983576e-07
WHR	Free cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.200063186132192	-0.271062424786333	-0.129063947478051	3.33392060458e-08
WHR	Total lipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.170022970781734	-0.245927894276118	-0.0941180472873504	1.13196873725928e-05
WHR	Concentration of medium HDL particles	Lipoprotein subclasses	Medium HDL	-0.146328547573095	-0.221907878351941	-0.0707492167942494	0.000147797911711422
WHR	Phospholipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.159980130716015	-0.231579216732823	-0.0883810446992075	1.19006371726813e-05
WHR	Total cholesterol in medium LDL	Lipoprotein subclasses	Medium LDL	0.125452223820582	0.020840305696448	0.230064141944716	0.018750112259862
WHR	Cholesterol esters in medium LDL	Lipoprotein subclasses	Medium LDL	0.14007955971323	0.0321060482207227	0.248053071205737	0.0109965554068177
WHR	Total lipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.150864012326785	0.042067021074851	0.259661003578719	0.00657084195418844
WHR	Concentration of medium LDL particles	Lipoprotein subclasses	Medium LDL	0.15493581644388	0.0465412784277098	0.26333035446005	0.00508556040181626
WHR	Phospholipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.155547136504508	0.0547045190279649	0.256389753981051	0.0025007601477347
WHR	Total cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.240538369682404	0.15280073487572	0.328276004489088	7.72373403775359e-08
WHR	Cholesterol esters in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.243831434683613	0.152978966597094	0.334683902770132	1.43834558373976e-07
WHR	Free cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.241351028619012	0.153780715928381	0.328921341309643	6.59305466601202e-08
WHR	Total lipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.258670785380441	0.168972216108575	0.348369354652307	1.58402122101334e-08
WHR	Concentration of medium VLDL particles	Lipoprotein subclasses	Medium VLDL	0.268418572648889	0.178219511496139	0.358617633801639	5.45508477317079e-09
WHR	Phospholipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.249198014708838	0.16121923513717	0.337176794280506	2.82972544474824e-08
